noticedate,hour,process,line,usage,production,equipment_ct,shift,scrap,waste,label
2024-01-01,7,pack,L1,285,36.44,3,day,0.72,0.11,normal
2024-01-01,7,pack,L2,190,43.92,2,day,0.96,0.14,normal
2024-01-01,8,mixing,L1,380,83.74,4,day,4.56,0.71,normal
2024-01-01,8,mixing,L2,343.66,84.79,5,day,4.13,1.4,normal
2024-01-01,8,plate,L1,404.06,128.78,5,day,6.87,1.99,normal
2024-01-01,8,plate,L2,285,95.28,3,day,7.19,1.42,normal
2024-01-01,8,cell,L1,529.18,76.58,6,day,7.3,0.88,normal
2024-01-01,8,cell,L2,492.93,81.25,7,day,7.69,2.74,normal
2024-01-01,8,module,L1,407.89,55.14,5,day,1.47,0.34,normal
2024-01-01,8,module,L2,357.51,60.55,5,day,1.04,0.82,normal
2024-01-01,8,pack,L1,281.1,38.8,4,day,0.5,0.14,normal
2024-01-01,8,pack,L2,190,30.77,2,day,0.6,0.08,normal
2024-01-01,9,mixing,L1,412.23,93.24,5,day,3.43,0.69,normal
2024-01-01,9,mixing,L2,475.73,98.36,6,day,1.58,1.54,normal
2024-01-01,9,plate,L1,346.78,147.14,4,day,7.27,2.71,normal
2024-01-01,9,plate,L2,328.66,132.38,5,day,7.34,2.71,normal
2024-01-01,9,cell,L1,444.59,77.43,8,day,3.75,2.16,normal
2024-01-01,9,cell,L2,433.01,78.7,6,day,7.88,1.88,normal
2024-01-01,9,module,L1,285,59.89,3,day,1.94,0.32,normal
2024-01-01,9,module,L2,285,49.37,3,day,1.45,0.47,normal
2024-01-01,9,pack,L1,285,49.02,3,day,0.45,0.04,normal
2024-01-01,9,pack,L2,338.05,32.48,2,day,1.12,0.33,CONTRACT_EXCEED
2024-01-01,10,mixing,L1,353.06,86.1,4,day,3.68,0.56,normal
2024-01-01,10,mixing,L2,409.76,85.25,5,day,2.22,1.19,normal
2024-01-01,10,plate,L1,296.03,140.97,4,day,2.76,1.05,normal
2024-01-01,10,plate,L2,364.83,142.91,4,day,8.3,1.38,normal
2024-01-01,10,cell,L1,556.11,67.71,7,day,6.89,1.98,normal
2024-01-01,10,cell,L2,596.77,91.31,7,day,5.1,2.19,normal
2024-01-01,10,module,L1,380,40.38,4,day,2.37,0.29,normal
2024-01-01,10,module,L2,385.34,62.86,5,day,0.75,0.34,normal
2024-01-01,10,pack,L1,334.56,42.32,4,day,1.18,0.23,normal
2024-01-01,10,pack,L2,190,34.45,2,day,1.18,0.04,normal
2024-01-01,11,mixing,L1,386.58,98.59,6,day,4.54,0.87,normal
2024-01-01,11,mixing,L2,388.75,94.5,5,day,4.93,0.84,normal
2024-01-01,11,plate,L1,285,113.81,3,day,5.62,1.38,normal
2024-01-01,11,plate,L2,285,122.76,3,day,6.6,2.23,normal
2024-01-01,11,cell,L1,548.59,61.72,6,day,4.17,1.16,normal
2024-01-01,11,cell,L2,473.8,82.14,7,day,4.44,2.39,normal
2024-01-01,11,module,L1,380,48.13,4,day,0.95,0.85,normal
2024-01-01,11,module,L2,401.43,66.53,5,day,0.83,0.37,normal
2024-01-01,11,pack,L1,344.2,49.53,4,day,0.94,0.49,normal
2024-01-01,11,pack,L2,278.51,35.22,3,day,0.12,0.27,normal
2024-01-01,12,mixing,L1,496.14,102.13,6,day,5.75,1.29,normal
2024-01-01,12,mixing,L2,355.39,75.49,5,day,3.52,0.97,normal
2024-01-01,12,plate,L1,287.19,147.05,4,day,2.8,1.13,normal
2024-01-01,12,plate,L2,285,129.32,3,day,2.91,2.07,normal
2024-01-01,12,cell,L1,588.78,62.74,8,day,5.4,2.42,normal
2024-01-01,12,cell,L2,504.51,78.02,8,day,3.64,2.01,normal
2024-01-01,12,module,L1,385.29,41.81,5,day,0.64,0.89,normal
2024-01-01,12,module,L2,285,40.44,3,day,0.8,0.26,normal
2024-01-01,12,pack,L1,249.07,39.4,2,day,0.42,0.35,EQUIPMENT_RATIO
2024-01-01,12,pack,L2,329.36,46.48,4,day,0.87,0.4,normal
2024-01-01,13,mixing,L1,367.22,88.99,4,day,5.6,1.56,normal
2024-01-01,13,mixing,L2,364.89,87.3,6,day,5.04,1.6,normal
2024-01-01,13,plate,L1,345.62,115.2,4,day,8.6,2.0,normal
2024-01-01,13,plate,L2,281.26,96.99,4,day,6.89,2.15,normal
2024-01-01,13,cell,L1,541.25,76.82,5,day,13.8,3.85,MULTIVARIATE_SCRAP_WASTE_DEVIATION
2024-01-01,13,cell,L2,583.21,67.26,8,day,5.74,1.78,normal
2024-01-01,13,module,L1,352.19,50.0,5,day,0.65,0.34,normal
2024-01-01,13,module,L2,364.32,57.88,4,day,2.27,0.64,normal
2024-01-01,13,pack,L1,285,36.47,3,day,1.31,0.41,normal
2024-01-01,13,pack,L2,2084.2,36.26,2,day,0.77,0.31,PRODUCTION_RATIO
2024-01-01,14,mixing,L1,357.74,90.68,4,day,5.68,1.01,normal
2024-01-01,14,mixing,L2,358.21,113.93,6,day,4.94,1.32,normal
2024-01-01,14,plate,L1,281.91,120.4,3,day,8.95,2.83,normal
2024-01-01,14,plate,L2,286.45,136.61,4,day,8.24,1.55,normal
2024-01-01,14,cell,L1,473.1,77.3,8,day,3.19,1.87,normal
2024-01-01,14,cell,L2,570,80.33,6,day,7.16,1.26,normal
2024-01-01,14,module,L1,362.24,68.03,5,day,1.04,0.2,normal
2024-01-01,14,module,L2,415.62,55.4,5,day,1.53,0.32,normal
2024-01-01,14,pack,L1,294.87,41.04,4,day,0.63,0.47,normal
2024-01-01,14,pack,L2,285,32.78,3,day,0.4,0.39,normal
2024-01-01,15,mixing,L1,619.24,116.54,5,day,3.3,1.33,SHIFT_RANGE
2024-01-01,15,mixing,L2,414.3,76.48,6,day,5.65,0.83,normal
2024-01-01,15,plate,L1,380,104.99,4,day,2.11,1.29,normal
2024-01-01,15,plate,L2,380,98.74,4,day,4.2,2.32,normal
2024-01-01,15,cell,L1,560.35,92.09,8,day,7.52,2.04,normal
2024-01-01,15,cell,L2,475,81.64,5,day,3.26,2.24,normal
2024-01-01,15,module,L1,285,42.71,3,day,2.22,0.83,normal
2024-01-01,15,module,L2,285,46.98,3,day,0.51,0.84,normal
2024-01-01,15,pack,L1,298.73,32.91,4,day,0.68,0.34,normal
2024-01-01,15,pack,L2,262.76,40.19,3,day,0.91,0.12,normal
2024-01-01,16,mixing,L1,371.47,98.45,5,day,3.62,1.33,normal
2024-01-01,16,mixing,L2,409.79,86.51,6,day,2.18,0.97,normal
2024-01-01,16,plate,L1,362.26,131.95,4,day,6.83,1.91,normal
2024-01-01,16,plate,L2,285,137.67,3,day,3.51,2.09,normal
2024-01-01,16,cell,L1,588.54,69.81,8,day,3.37,1.9,normal
2024-01-01,16,cell,L2,548.93,61.96,8,day,6.96,2.77,normal
2024-01-01,16,module,L1,285,64.06,3,day,1.93,0.76,normal
2024-01-01,16,module,L2,285,57.78,3,day,1.84,0.92,normal
2024-01-01,16,pack,L1,290.16,38.82,4,day,0.61,0.07,normal
2024-01-01,16,pack,L2,190,36.31,2,day,0.27,0.27,normal
2024-01-01,17,mixing,L1,380,116.54,4,day,2.73,1.55,normal
2024-01-01,17,mixing,L2,460.97,104.86,5,day,4.96,1.01,normal
2024-01-01,17,plate,L1,385.58,111.28,5,day,7.07,2.96,normal
2024-01-01,17,plate,L2,380,113.29,4,day,1.99,2.02,normal
2024-01-01,17,cell,L1,524.57,84.89,8,day,6.72,2.76,normal
2024-01-01,17,cell,L2,446.76,61.0,7,day,7.47,1.13,normal
2024-01-01,17,module,L1,380,67.28,4,day,1.96,0.31,normal
2024-01-01,17,module,L2,73.25,0.0,3,day,0.62,0.91,MULTIVARIATE_BASE_LOAD
2024-01-01,17,pack,L1,337.16,44.86,4,day,0.69,0.37,normal
2024-01-01,17,pack,L2,285,29.98,3,day,0.9,0.47,normal
2024-01-01,18,mixing,L1,87.61,88.69,5,night,5.78,1.6,normal
2024-01-01,18,mixing,L2,82.43,96.78,6,night,3.04,0.92,normal
2024-01-01,18,plate,L1,53.66,142.4,4,night,2.64,1.42,normal
2024-01-01,18,plate,L2,77.13,97.53,4,night,3.56,1.24,normal
2024-01-01,18,cell,L1,68.43,88.61,6,night,5.28,2.47,normal
2024-01-01,18,cell,L2,108.72,91.55,5,night,3.52,2.96,normal
2024-01-01,18,module,L1,56.21,63.96,3,night,1.99,0.22,normal
2024-01-01,18,module,L2,686.59,55.67,3,night,0.8,0.24,RATED_EXCEED
2024-01-01,18,pack,L1,52.37,39.52,3,night,0.82,0.05,normal
2024-01-01,18,pack,L2,56.36,28.87,4,night,0.78,0.23,normal
2024-01-01,19,mixing,L1,62.43,99.16,5,night,3.48,0.55,normal
2024-01-01,19,mixing,L2,72.74,110.97,5,night,4.12,0.49,normal
2024-01-01,19,plate,L1,68.99,127.42,4,night,4.67,2.19,normal
2024-01-01,19,plate,L2,63.17,116.51,5,night,2.68,2.24,normal
2024-01-01,19,cell,L1,92.57,92.62,8,night,4.45,1.13,normal
2024-01-01,19,cell,L2,92.67,76.64,5,night,3.74,1.35,normal
2024-01-01,19,module,L1,68.61,60.6,4,night,0.56,0.95,normal
2024-01-01,19,module,L2,40.9,60.16,3,night,1.68,0.67,normal
2024-01-01,19,pack,L1,39.89,32.44,3,night,1.32,0.47,normal
2024-01-01,19,pack,L2,55.48,29.03,3,night,0.88,0.18,normal
2024-01-01,20,mixing,L1,68.51,106.27,4,night,5.33,0.89,normal
2024-01-01,20,mixing,L2,59.6,86.14,4,night,4.97,1.5,normal
2024-01-01,20,plate,L1,74.55,130.68,5,night,5.9,2.22,normal
2024-01-01,20,plate,L2,68.8,96.45,4,night,6.68,1.59,normal
2024-01-01,20,cell,L1,65.31,92.79,8,night,2.12,2.3,normal
2024-01-01,20,cell,L2,74.59,81.22,8,night,4.4,1.42,normal
2024-01-01,20,module,L1,61.65,63.31,5,night,1.83,1.0,normal
2024-01-01,20,module,L2,60.63,39.49,3,night,1.03,0.73,normal
2024-01-01,20,pack,L1,43.26,35.46,4,night,0.26,0.21,normal
2024-01-01,20,pack,L2,48.35,37.73,4,night,0.5,0.11,normal
2024-01-01,21,mixing,L1,62.19,88.18,4,night,4.98,1.47,normal
2024-01-01,21,mixing,L2,59.8,94.9,5,night,2.26,0.89,normal
2024-01-01,21,plate,L1,65.01,141.67,4,night,2.5,2.72,normal
2024-01-01,21,plate,L2,76.44,130.47,4,night,5.82,2.09,MULTIVARIATE_EFFICIENCY_DROP
2024-01-01,21,cell,L1,70.76,58.83,7,night,2.75,2.78,normal
2024-01-01,21,cell,L2,104.48,74.47,8,night,7.04,1.18,normal
2024-01-01,21,module,L1,55.72,51.87,4,night,2.19,0.4,normal
2024-01-01,21,module,L2,40.29,57.0,5,night,1.57,0.92,normal
2024-01-01,21,pack,L1,51.82,46.38,2,night,0.43,0.07,normal
2024-01-01,21,pack,L2,46.07,43.2,4,night,0.2,0.48,normal
2024-01-01,22,mixing,L1,78.56,102.55,6,night,3.58,1.69,normal
2024-01-01,22,mixing,L2,80.41,99.98,6,night,2.86,0.97,normal
2024-01-01,22,plate,L1,68.94,139.82,5,night,2.39,2.01,normal
2024-01-01,22,plate,L2,61.56,97.84,4,night,2.42,2.64,normal
2024-01-01,22,cell,L1,95.75,78.28,8,night,5.24,2.79,normal
2024-01-01,22,cell,L2,72.05,96.36,6,night,3.79,1.74,normal
2024-01-01,22,module,L1,41.86,43.11,4,night,2.76,0.28,normal
2024-01-01,22,module,L2,39.17,59.23,4,night,1.61,0.69,normal
2024-01-01,22,pack,L1,57.54,37.75,3,night,1.05,0.03,normal
2024-01-01,22,pack,L2,38.04,34.59,4,night,0.98,0.14,normal
2024-01-01,23,mixing,L1,86.26,116.25,4,night,3.07,1.22,normal
2024-01-01,23,mixing,L2,68.99,113.71,6,night,4.35,0.57,normal
2024-01-01,23,plate,L1,52.54,127.95,5,night,7.54,2.63,normal
2024-01-01,23,plate,L2,72.87,131.94,5,night,8.1,1.18,normal
2024-01-01,23,cell,L1,90.42,58.73,7,night,2.8,1.09,normal
2024-01-01,23,cell,L2,94.31,69.06,6,night,2.76,1.31,normal
2024-01-01,23,module,L1,55.23,56.19,5,night,2.52,0.23,normal
2024-01-01,23,module,L2,60.99,41.93,4,night,0.75,0.34,normal
2024-01-01,23,pack,L1,48.74,48.05,4,night,0.71,0.21,normal
2024-01-01,23,pack,L2,35.13,36.88,3,night,1.08,0.39,normal
2024-01-01,24,mixing,L1,69.57,118.62,5,night,5.58,0.67,normal
2024-01-01,24,mixing,L2,77.82,92.62,5,night,4.85,1.05,normal
2024-01-01,24,plate,L1,54.86,109.98,5,night,2.97,1.5,normal
2024-01-01,24,plate,L2,74.22,122.73,3,night,6.74,1.98,normal
2024-01-01,24,cell,L1,69.19,64.41,8,night,7.22,0.94,normal
2024-01-01,24,cell,L2,117.32,68.88,8,night,7.28,2.83,normal
2024-01-01,24,module,L1,51.89,51.22,4,night,2.79,0.54,normal
2024-01-01,24,module,L2,414.46,57.5,3,night,0.72,0.43,SHIFT_RANGE
2024-01-01,24,pack,L1,34.16,44.11,3,night,0.96,0.45,normal
2024-01-01,24,pack,L2,40.7,6.68,4,night,1.32,0.3,MULTIVARIATE_IDLE_POWER
2024-01-02,1,mixing,L1,64.87,89.54,6,night,5.09,1.04,normal
2024-01-02,1,mixing,L2,91.21,98.87,4,night,4.22,1.15,normal
2024-01-02,1,plate,L1,58.74,100.08,4,night,3.68,1.83,normal
2024-01-02,1,plate,L2,50.57,143.73,3,night,8.38,2.03,normal
2024-01-02,1,cell,L1,90.38,58.81,8,night,1.97,1.49,normal
2024-01-02,1,cell,L2,107.37,74.28,5,night,3.94,2.36,normal
2024-01-02,1,module,L1,63.15,62.06,4,night,0.72,0.52,normal
2024-01-02,1,module,L2,57.28,62.91,5,night,1.47,0.76,normal
2024-01-02,1,pack,L1,54.34,31.26,3,night,0.15,0.1,normal
2024-01-02,1,pack,L2,54.57,34.31,3,night,0.77,0.49,normal
2024-01-02,2,mixing,L1,70.13,110.13,4,night,2.86,1.61,normal
2024-01-02,2,mixing,L2,405.96,79.98,5,night,3.38,0.92,CONTRACT_EXCEED
2024-01-02,2,plate,L1,55.6,134.6,4,night,8.47,2.04,normal
2024-01-02,2,plate,L2,69.81,98.95,5,night,8.67,1.34,normal
2024-01-02,2,cell,L1,70.13,71.12,7,night,3.57,1.99,normal
2024-01-02,2,cell,L2,104.49,74.06,5,night,6.31,2.79,normal
2024-01-02,2,module,L1,53.05,59.18,3,night,0.58,0.77,normal
2024-01-02,2,module,L2,62.03,58.38,3,night,0.73,0.69,normal
2024-01-02,2,pack,L1,31.04,31.34,4,night,0.61,0.19,normal
2024-01-02,2,pack,L2,46.15,41.58,3,night,0.58,0.38,normal
2024-01-02,3,mixing,L1,81.18,95.92,6,night,2.83,1.74,normal
2024-01-02,3,mixing,L2,63.58,99.48,5,night,13.19,3.05,MULTIVARIATE_SCRAP_WASTE_DEVIATION
2024-01-02,3,plate,L1,79.96,110.01,3,night,7.97,1.9,normal
2024-01-02,3,plate,L2,61.35,99.39,5,night,8.48,2.87,normal
2024-01-02,3,cell,L1,100.48,80.0,7,night,7.14,2.56,normal
2024-01-02,3,cell,L2,116.37,85.51,7,night,4.95,0.89,normal
2024-01-02,3,module,L1,44.17,63.71,3,night,1.27,0.72,normal
2024-01-02,3,module,L2,67.49,41.89,3,night,0.55,0.52,normal
2024-01-02,3,pack,L1,44.36,38.22,3,night,1.25,0.04,normal
2024-01-02,3,pack,L2,47.27,37.0,4,night,0.77,0.06,normal
2024-01-02,4,mixing,L1,82.05,103.51,4,night,3.5,1.67,normal
2024-01-02,4,mixing,L2,83.37,9.23,5,night,2.21,0.82,MULTIVARIATE_IDLE_POWER
2024-01-02,4,plate,L1,76.85,142.3,4,night,3.37,2.91,normal
2024-01-02,4,plate,L2,66.75,125.72,3,night,5.32,1.32,normal
2024-01-02,4,cell,L1,72.71,84.35,7,night,6.84,1.9,normal
2024-01-02,4,cell,L2,71.42,61.82,7,night,5.84,2.44,normal
2024-01-02,4,module,L1,59.17,54.94,5,night,1.71,0.78,normal
2024-01-02,4,module,L2,45.35,62.22,4,night,1.08,0.26,normal
2024-01-02,4,pack,L1,2377.57,39.29,3,night,0.95,0.16,PRODUCTION_RATIO
2024-01-02,4,pack,L2,53.82,47.51,2,night,1.09,0.26,normal
2024-01-02,5,mixing,L1,69.67,84.9,5,night,2.69,0.54,normal
2024-01-02,5,mixing,L2,70.37,99.62,4,night,5.64,1.57,normal
2024-01-02,5,plate,L1,78.01,136.06,3,night,7.34,2.0,normal
2024-01-02,5,plate,L2,62.96,110.43,3,night,2.51,1.75,normal
2024-01-02,5,cell,L1,77.04,81.33,5,night,2.01,1.74,normal
2024-01-02,5,cell,L2,102.71,78.82,5,night,7.05,1.63,normal
2024-01-02,5,module,L1,61.83,62.92,4,night,0.51,0.25,normal
2024-01-02,5,module,L2,48.88,46.66,4,night,1.56,0.81,normal
2024-01-02,5,pack,L1,59.67,43.61,2,night,0.28,0.05,normal
2024-01-02,5,pack,L2,57.6,39.16,3,night,1.08,0.1,normal
2024-01-02,6,mixing,L1,380,81.81,4,day,4.74,1.53,normal
2024-01-02,6,mixing,L2,362.34,110.73,4,day,2.91,1.2,normal
2024-01-02,6,plate,L1,380,136.97,4,day,6.16,2.01,normal
2024-01-02,6,plate,L2,338.58,123.15,4,day,7.45,1.7,normal
2024-01-02,6,cell,L1,475,81.35,5,day,5.34,1.21,normal
2024-01-02,6,cell,L2,570,83.14,6,day,6.27,2.0,normal
2024-01-02,6,module,L1,380,58.59,4,day,0.75,0.81,normal
2024-01-02,6,module,L2,-22.38,43.72,4,day,1.12,0.32,NEGATIVE_POWER
2024-01-02,6,pack,L1,350.75,48.41,4,day,1.12,0.35,normal
2024-01-02,6,pack,L2,285,47.96,3,day,0.78,0.16,normal
2024-01-02,7,mixing,L1,475,93.69,5,day,4.57,1.61,normal
2024-01-02,7,mixing,L2,460.55,85.57,5,day,2.33,0.72,normal
2024-01-02,7,plate,L1,311.48,148.65,4,day,7.4,2.41,normal
2024-01-02,7,plate,L2,338.46,118.99,5,day,8.25,2.51,normal
2024-01-02,7,cell,L1,414.37,85.06,8,day,7.16,1.51,normal
2024-01-02,7,cell,L2,475,65.86,5,day,3.58,2.31,normal
2024-01-02,7,module,L1,366.36,47.69,4,day,0.91,0.95,normal
2024-01-02,7,module,L2,285,46.15,3,day,1.82,0.67,normal
2024-01-02,7,pack,L1,337.08,40.62,4,day,0.43,0.05,normal
2024-01-02,7,pack,L2,190,41.62,2,day,0.11,0.28,normal
2024-01-02,8,mixing,L1,411.04,117.4,5,day,3.7,0.68,normal
2024-01-02,8,mixing,L2,380,100.84,4,day,4.3,0.7,normal
2024-01-02,8,plate,L1,285,101.86,3,day,4.93,2.68,normal
2024-01-02,8,plate,L2,275.09,136.81,4,day,3.17,2.42,normal
2024-01-02,8,cell,L1,447.89,59.5,7,day,5.16,0.85,normal
2024-01-02,8,cell,L2,456.91,99.56,8,day,7.31,0.92,normal
2024-01-02,8,module,L1,340.93,64.26,4,day,0.79,0.61,normal
2024-01-02,8,module,L2,317.93,60.1,4,day,1.71,0.81,normal
2024-01-02,8,pack,L1,285,47.94,3,day,0.82,0.04,normal
2024-01-02,8,pack,L2,264.02,30.81,3,day,1.32,0.0,normal
2024-01-02,9,mixing,L1,417.01,90.68,5,day,2.93,1.41,normal
2024-01-02,9,mixing,L2,594.32,84.45,6,day,2.01,0.8,SHIFT_RANGE
2024-01-02,9,plate,L1,380,135.18,4,day,6.83,2.28,normal
2024-01-02,9,plate,L2,285,106.04,3,day,5.15,1.86,normal
2024-01-02,9,cell,L1,464.72,86.08,8,day,6.32,2.44,normal
2024-01-02,9,cell,L2,475,87.21,5,day,5.06,1.87,normal
2024-01-02,9,module,L1,437.59,43.37,5,day,2.57,0.38,normal
2024-01-02,9,module,L2,314.68,63.63,4,day,0.67,0.36,normal
2024-01-02,9,pack,L1,190,40.21,2,day,0.73,0.26,normal
2024-01-02,9,pack,L2,247.51,37.25,3,day,1.04,0.2,normal
2024-01-02,10,mixing,L1,380,103.13,4,day,3.46,1.38,normal
2024-01-02,10,mixing,L2,349.04,110.77,5,day,1.64,0.93,normal
2024-01-02,10,plate,L1,387.22,148.92,5,day,8.75,1.75,normal
2024-01-02,10,plate,L2,332.8,140.86,4,day,4.45,2.3,normal
2024-01-02,10,cell,L1,497.86,84.14,7,day,2.42,2.88,normal
2024-01-02,10,cell,L2,425.47,99.15,5,day,6.49,2.95,normal
2024-01-02,10,module,L1,380,52.72,4,day,2.38,0.42,normal
2024-01-02,10,module,L2,331.35,66.12,5,day,2.16,0.23,normal
2024-01-02,10,pack,L1,190,48.72,2,day,0.44,0.03,normal
2024-01-02,10,pack,L2,190,41.44,2,day,0.42,0.02,normal
2024-01-02,11,mixing,L1,380,110.18,4,day,2.22,1.79,normal
2024-01-02,11,mixing,L2,477.46,98.04,6,day,4.07,1.27,normal
2024-01-02,11,plate,L1,322.25,107.16,5,day,5.65,1.83,normal
2024-01-02,11,plate,L2,347.94,124.58,5,day,8.1,2.19,normal
2024-01-02,11,cell,L1,489.12,96.89,8,day,6.49,1.33,normal
2024-01-02,11,cell,L2,429.84,75.06,8,day,3.29,1.14,normal
2024-01-02,11,module,L1,285,53.89,3,day,1.75,1.07,normal
2024-01-02,11,module,L2,285,45.29,3,day,1.16,0.26,normal
2024-01-02,11,pack,L1,190,40.71,2,day,0.17,0.19,normal
2024-01-02,11,pack,L2,245.14,29.46,4,day,1.04,0.28,normal
2024-01-02,12,mixing,L1,380,93.32,4,day,2.53,0.67,normal
2024-01-02,12,mixing,L2,380,105.17,4,day,4.49,1.31,normal
2024-01-02,12,plate,L1,313.51,116.08,4,day,4.66,2.07,normal
2024-01-02,12,plate,L2,306.62,120.64,4,day,5.07,2.53,normal
2024-01-02,12,cell,L1,542.33,70.81,6,day,3.96,1.55,normal
2024-01-02,12,cell,L2,444.25,65.84,7,day,5.23,2.0,normal
2024-01-02,12,module,L1,285,45.89,3,day,1.31,0.95,normal
2024-01-02,12,module,L2,380,58.55,4,day,2.16,0.59,normal
2024-01-02,12,pack,L1,346.15,39.22,4,day,1.21,0.08,normal
2024-01-02,12,pack,L2,303.48,46.34,4,day,1.39,0.48,normal
2024-01-02,13,mixing,L1,475.86,82.97,6,day,1.81,0.41,normal
2024-01-02,13,mixing,L2,380,77.72,4,day,1.54,1.06,normal
2024-01-02,13,plate,L1,366.5,133.34,5,day,8.39,2.32,normal
